x, y, Aurora
0, 0, 7
0, 2, 11
0, 3, 15
0, 4, 20
0, 5, 24
0, 6, 29
0, 7, 33
0, 8, 37
0, 9, 40
0, 10, 42
0, 11, 43
0, 12, 43
0, 13, 43
0, 14, 41
0, 15, 39
0, 16, 37
0, 17, 34
0, 18, 31
0, 19, 27
0, 20, 24
0, 21, 21
0, 22, 18
0, 23, 15
0, 24, 13
0, 25, 10
0, 26, 8
0, 27, 7
0, 28, 5
0, 148, 5
0, 149, 7
0, 150, 11
0, 151, 15
0, 152, 19
0, 153, 23
0, 154, 26
0, 155, 28
0, 156, 29
0, 157, 29
0, 158, 27
0, 159, 25
0, 160, 22
0, 161, 18
0, 162, 15
0, 163, 12
0, 164, 9
0, 165, 6
1, 0, 7
1, 2, 11
1, 3, 15
1, 4, 20
1, 5, 24
1, 6, 29
1, 7, 33
1, 8, 37
1, 9, 40
1, 10, 42
1, 11, 43
1, 12, 43
1, 13, 43
1, 14, 42
1, 15, 40
1, 16, 38
1, 17, 35
1, 18, 32
1, 19, 28
1, 20, 25
1, 21, 22
1, 22, 19
1, 23, 16
1, 24, 13
1, 25, 11
1, 26, 9
1, 27, 7
1, 28, 5
1, 148, 5
1, 149, 7
1, 150, 10
1, 151, 14
1, 152, 18
1, 153, 23
1, 154, 26
1, 155, 28
1, 156, 29
1, 157, 29
1, 158, 27
1, 159, 25
1, 160, 22
1, 161, 18
1, 162, 15
1, 163, 12
1, 164, 9
1, 165, 6
2, 0, 7
2, 2, 11
2, 3, 15
2, 4, 19
2, 5, 24
2, 6, 28
2, 7, 33
2, 8, 36
2, 9, 39
2, 10, 42
2, 11, 43
2, 12, 44
2, 13, 43
2, 14, 42
2, 15, 40
2, 16, 38
2, 17, 36
2, 18, 33
2, 19, 29
2, 20, 26
2, 21, 23
2, 22, 20
2, 23, 17
2, 24, 14
2, 25, 12
2, 26, 9
2, 27, 8
2, 28, 6
2, 29, 5
2, 149, 7
2, 150, 10
2, 151, 14
2, 152, 18
2, 153, 22
2, 154, 26
2, 155, 28
2, 156, 29
2, 157, 29
2, 158, 27
2, 159, 25
2, 160, 22
2, 161, 19
2, 162, 15
2, 163, 12
2, 164, 9
2, 165, 7
3, 0, 7
3, 2, 11
3, 3, 15
3, 4, 19
3, 5, 24
3, 6, 28
3, 7, 32
3, 8, 36
3, 9, 39
3, 10, 42
3, 11, 43
3, 12, 44
3, 13, 43
3, 14, 43
3, 15, 41
3, 16, 39
3, 17, 36
3, 18, 33
3, 19, 30
3, 20, 27
3, 21, 24
3, 22, 21
3, 23, 18
3, 24, 15
3, 25, 12
3, 26, 10
3, 27, 8
3, 28, 6
3, 29, 5
3, 149, 7
3, 150, 10
3, 151, 14
3, 152, 18
3, 153, 22
3, 154, 25
3, 155, 28
3, 156, 29
3, 157, 29
3, 158, 27
3, 159, 25
3, 160, 22
3, 161, 19
3, 162, 16
3, 163, 12
3, 164, 9
3, 165, 7
3, 166, 5
4, 0, 7
4, 2, 11
4, 3, 15
4, 4, 19
4, 5, 23
4, 6, 28
4, 7, 32
4, 8, 36
4, 9, 39
4, 10, 41
4, 11, 43
4, 12, 44
4, 13, 44
4, 14, 43
4, 15, 42
4, 16, 40
4, 17, 37
4, 18, 34
4, 19, 31
4, 20, 28
4, 21, 25
4, 22, 22
4, 23, 19
4, 24, 16
4, 25, 13
4, 26, 11
4, 27, 9
4, 28, 7
4, 29, 5
4, 149, 6
4, 150, 10
4, 151, 13
4, 152, 18
4, 153, 22
4, 154, 25
4, 155, 28
4, 156, 29
4, 157, 29
4, 158, 27
4, 159, 25
4, 160, 22
4, 161, 19
4, 162, 16
4, 163, 12
4, 164, 9
4, 165, 7
4, 166, 5
5, 0, 7
5, 2, 11
5, 3, 15
5, 4, 19
5, 5, 23
5, 6, 27
5, 7, 32
5, 8, 35
5, 9, 39
5, 10, 41
5, 11, 43
5, 12, 44
5, 13, 44
5, 14, 43
5, 15, 42
5, 16, 40
5, 17, 38
5, 18, 35
5, 19, 32
5, 20, 29
5, 21, 26
5, 22, 22
5, 23, 19
5, 24, 17
5, 25, 14
5, 26, 11
5, 27, 9
5, 28, 7
5, 29, 6
5, 149, 6
5, 150, 9
5, 151, 13
5, 152, 17
5, 153, 21
5, 154, 25
5, 155, 27
5, 156, 29
5, 157, 29
5, 158, 27
5, 159, 25
5, 160, 22
5, 161, 19
5, 162, 16
5, 163, 13
5, 164, 10
5, 165, 7
5, 166, 5
6, 0, 7
6, 2, 11
6, 3, 15
6, 4, 19
6, 5, 23
6, 6, 27
6, 7, 31
6, 8, 35
6, 9, 38
6, 10, 41
6, 11, 43
6, 12, 44
6, 13, 44
6, 14, 44
6, 15, 42
6, 16, 41
6, 17, 39
6, 18, 36
6, 19, 33
6, 20, 30
6, 21, 27
6, 22, 23
